id_app_user;first_name;last_name;c_np;grupa;an;disciplina
1;Jerald;Wolff;18421;53177;47411;Strategist bypass Mobility
2;Dixie;Streich;1667;53229;40312;Account Loan Oregon
3;Joyce;Bartell;24056;35605;55534;Infrastructure Connecticut
4;Jay;Jakubowski;74670;26550;5546;Dinar efficient Unbranded
5;Arnaldo;Brakus;19408;27496;13064;Gorgeous
6;Tianna;Price;14985;66276;86447;Metal
7;Hadley;Purdy;77950;44104;70572;backing
8;Dalton;Yost;36584;62782;61900;Berkshire mission-critical
9;Amber;Quigley;55478;53522;58421;deposit impactful
10;Abby;Lesch;70743;30000;79699;internet Polarised
